LSOA_code,IMD_rank,IMD_decile
E01013877,130,1
E01013861,145,1
E01013948,207,1
E01013818,265,1
E01033411,453,1
E01013817,594,1
E01013960,800,1
E01013879,813,1
E01013851,847,1
E01013880,872,1
E01013812,"1,042",1
E01013881,"1,113",1
E01013885,"1,188",1
E01013821,"1,197",1
E01013822,"1,266",1
E01013826,"1,298",1
E01013820,"1,432",1
E01013868,"1,471",1
E01013849,"1,521",1
E01013921,"1,526",1
E01013909,"1,575",1
E01013876,"1,577",1
E01013811,"1,688",1
E01013959,"1,705",1
E01013871,"1,743",1
E01013810,"1,767",1
E01013958,"1,796",1
E01013819,"1,860",1
E01013878,"1,963",1
E01013860,"1,992",1
E01013859,"1,997",1
E01013862,"2,003",1
E01013882,"2,175",1
E01013884,"2,184",1
E01013867,"2,191",1
E01013850,"2,209",1
E01013954,"2,290",1
E01013940,"2,305",1
E01013839,"2,317",1
E01013865,"2,366",1
E01013855,"2,553",1
E01013841,"2,577",1
E01013947,"2,594",1
E01013942,"2,607",1
E01013825,"2,787",1
E01013824,"2,823",1
E01013846,"2,859",1
E01013919,"2,861",1
E01013883,"2,876",1
E01013864,"2,885",1
E01013896,"2,889",1
E01032621,"2,942",1
E01013920,"2,974",1
E01013833,"3,018",1
E01013891,"3,169",1
E01013844,"3,253",1
E01013916,"3,318",2
E01013866,"3,330",2
E01013823,"3,496",2
E01013814,"3,499",2
E01013842,"3,522",2
E01013962,"3,525",2
E01013943,"3,549",2
E01013918,"3,579",2
E01013945,"3,727",2
E01033396,"3,795",2
E01013815,"3,805",2
E01013854,"3,891",2
E01013905,"3,927",2
E01013963,"3,992",2
E01013847,"4,065",2
E01013834,"4,118",2
E01013852,"4,127",2
E01013900,"4,215",2
E01013886,"4,236",2
E01013845,"4,273",2
E01013893,"4,353",2
E01013908,"4,386",2
E01013897,"4,404",2
E01013827,"4,521",2
E01013907,"4,587",2
E01033405,"4,686",2
E01013957,"4,697",2
E01013835,"4,710",2
E01013870,"4,715",2
E01013933,"4,737",2
E01013836,"4,860",2
E01013966,"4,935",2
E01013917,"4,980",2
E01013853,"5,000",2
E01013910,"5,057",2
E01013858,"5,301",2
E01013904,"5,440",2
E01013899,"5,513",2
E01013872,"5,602",2
E01013832,"5,713",2
E01013961,"5,760",2
E01013911,"5,778",2
E01013829,"5,949",2
E01013906,"6,155",2
E01013813,"6,329",2
E01033399,"6,403",2
E01013965,"6,435",2
E01013856,"6,493",2
E01033398,"6,613",3
E01013976,"6,722",3
E01013972,"6,814",3
E01033397,"6,833",3
E01033400,"6,992",3
E01013944,"7,026",3
E01013888,"7,173",3
E01013843,"7,309",3
E01033409,"8,090",3
E01013830,"8,218",3
E01013873,"8,329",3
E01013930,"8,405",3
E01033403,"8,499",3
E01013828,"8,583",3
E01013983,"8,773",3
E01013874,"8,936",3
E01013971,"9,206",3
E01033401,"9,265",3
E01013939,"9,357",3
E01013863,"9,387",3
E01013926,"9,473",3
E01013932,"9,641",3
E01013915,"9,698",3
E01013890,"10,108",4
E01013936,"10,225",4
E01033407,"10,416",4
E01013929,"10,586",4
E01013934,"10,833",4
E01013967,"10,934",4
E01013964,"11,001",4
E01013969,"11,081",4
E01013903,"11,195",4
E01013974,"11,399",4
E01013941,"11,411",4
E01033404,"11,435",4
E01033402,"12,252",4
E01013924,"12,700",4
E01013912,"12,738",4
E01013938,"12,854",4
E01013898,"13,243",5
E01013937,"13,370",5
E01013816,"13,429",5
E01013889,"13,592",5
E01033406,"13,986",5
E01013931,"14,398",5
E01013973,"14,528",5
E01013913,"14,607",5
E01013894,"15,941",5
E01013831,"16,023",5
E01033408,"16,147",5
E01013914,"16,389",5
E01013968,"16,487",6
E01013838,"16,531",6
E01013840,"16,751",6
E01013978,"16,881",6
E01013935,"17,018",6
E01013970,"17,336",6
E01013875,"17,550",6
E01013928,"18,077",6
E01013895,"18,523",6
E01013887,"18,714",6
E01013892,"19,225",6
E01033395,"19,619",6
E01013837,"19,695",6
E01032522,"19,832",7
E01013953,"21,258",7
E01013977,"21,357",7
E01033410,"21,883",7
E01013975,"22,177",7
E01013902,"22,415",7
E01013901,"26,632",9
E01013979,"27,054",9
E01032520,"27,218",9
E01013980,"27,711",9
E01013981,"28,344",9
E01013982,"29,073",9
E01013985,"29,645",10
E01013984,"30,163",10